B01003_001E,B19013_001E,B18101_001E,B25064_001E,B01002_001E,B02001_002E,state,county,tract,block group
1016,-666666666,,432,30.8,40,36,005,006900,3
712,67072,,1593,42.1,43,36,005,041800,1
978,74722,,1628,37.5,514,36,005,016200,2
2399,13783,,435,37.2,172,36,005,020501,2
668,20139,,1108,26.9,53,36,005,017902,2
1668,73313,,1352,37.1,67,36,005,026701,1
2027,97808,,2225,37.1,1114,36,005,029302,3
1412,26528,,1485,24.1,61,36,005,040304,2
1503,31681,,1193,34.4,92,36,005,038301,2
1226,114423,,-666666666,30.8,437,36,005,014400,6
861,60556,,1301,44.1,186,36,005,009200,4
735,57175,,1316,33.9,0,36,005,021002,8
1870,32083,,1094,33.9,188,36,005,014500,4
870,21818,,1003,39.4,132,36,005,008700,4
1075,27813,,1069,27.8,181,36,005,012101,1
875,43819,,1280,32.4,239,36,005,021800,4
846,84125,,-666666666,38.7,262,36,005,009000,4
636,-666666666,,-666666666,20.2,400,36,005,031900,1
0,-666666666,,-666666666,-666666666.0,0,36,005,046201,8
1138,25089,,1064,31.0,160,36,005,021301,2
755,69306,,1290,38.0,585,36,005,026602,5
0,-666666666,,-666666666,-666666666.0,0,36,005,051600,5
2406,22992,,1399,23.7,265,36,005,038100,6
1710,62622,,1526,42.7,517,36,005,022800,2
1410,27721,,1301,34.9,395,36,005,019900,2
1417,44176,,1364,26.5,135,36,005,040702,4
1332,-666666666,,1405,45.3,829,36,005,034500,2
805,-666666666,,1111,29.2,52,36,005,023301,4
1247,76343,,1524,43.2,805,36,005,045600,3
1135,21612,,1178,22.4,50,36,005,005001,3
1568,28125,,1190,27.4,208,36,005,005002,3
1951,15609,,1097,25.3,84,36,005,005300,1
0,-666666666,,-666666666,-666666666.0,0,36,005,002800,0
1017,55972,,1172,35.7,54,36,005,002800,4
361,-666666666,,970,23.9,32,36,005,043500,1
0,-666666666,,-666666666,-666666666.0,0,36,005,051600,0
1823,22222,,1279,25.3,184,36,005,037900,5
925,39257,,722,26.4,11,36,005,038100,4
833,69205,,1448,28.5,382,36,005,034300,2
970,71901,,1464,27.9,450,36,005,044200,4
649,71071,,1030,36.9,244,36,005,027900,5
2157,29511,,1189,27.6,221,36,005,018102,2
1720,21481,,1104,43.8,121,36,005,018301,1
1012,33182,,1181,28.3,10,36,005,018302,2
332,16496,,-666666666,30.0,0,36,005,005100,1
1207,46754,,1175,33.1,228,36,005,007600,2
941,35000,,1882,33.7,198,36,005,007600,5
878,20595,,470,24.4,358,36,005,009000,3
1545,19647,,429,38.3,695,36,005,009000,5
0,-666666666,,-666666666,-666666666.0,0,36,005,009300,0
1255,71827,,-666666666,46.5,991,36,005,051600,3
1172,42683,,1336,22.5,792,36,005,038900,3
1082,31250,,1075,30.5,110,36,005,038900,4
630,-666666666,,1465,23.1,0,36,005,039100,5
847,30640,,1278,35.8,47,36,005,039400,1
867,51875,,1565,34.8,117,36,005,034200,1
790,42581,,1506,35.6,23,36,005,037200,1
707,11776,,1340,26.9,90,36,005,039902,2
957,117557,,1543,45.6,22,36,005,042600,1
998,127563,,1654,45.8,0,36,005,042600,4
1975,25490,,998,37.2,250,36,005,035900,1
1027,46000,,1563,35.9,70,36,005,036800,2
818,66676,,1688,33.9,0,36,005,038600,2
468,-666666666,,1375,39.8,282,36,005,000400,1
1901,20926,,1116,27.4,206,36,005,013100,3
935,70594,,1134,39.3,118,36,005,007100,1
1534,42885,,1406,33.1,377,36,005,042300,2
1918,23295,,1276,28.3,124,36,005,005002,1
486,30238,,1458,42.5,48,36,005,037000,2
2076,29609,,1227,29.9,177,36,005,019700,1
2600,75417,,1869,21.7,1965,36,005,011800,1
269,-666666666,,1076,51.1,92,36,005,003700,1
679,47443,,1864,28.1,5,36,005,034800,1
1083,50806,,1388,36.2,74,36,005,039200,1
2201,38021,,1355,33.2,263,36,005,042902,1
738,24773,,1250,29.7,125,36,005,036501,3
878,24743,,1226,39.5,387,36,005,027300,1
647,64135,,1366,43.6,177,36,005,027900,1
1326,41359,,1263,40.7,20,36,005,037800,1
629,-666666666,,780,34.8,0,36,005,017500,6
2070,26136,,1313,32.6,296,36,005,026500,2
1017,62826,,1184,41.1,87,36,005,048400,2
832,27875,,729,29.4,83,36,005,011900,2
1043,-666666666,,1252,30.8,76,36,005,025100,2
871,26932,,1546,32.3,154,36,005,008300,1
2497,51875,,1050,43.2,388,36,005,030200,2
684,32195,,1157,36.6,269,36,005,002500,5
1562,26146,,1166,29.7,174,36,005,021502,5
1782,26250,,1198,26.4,332,36,005,022901,5
920,65500,,1677,47.9,512,36,005,000200,3
863,30284,,1565,28.5,297,36,005,032800,4
2248,22222,,506,23.2,506,36,005,045800,2
689,39167,,1233,40.4,30,36,005,041800,4
771,21087,,1088,37.8,104,36,005,042901,3
0,-666666666,,-666666666,-666666666.0,0,36,005,031900,0
1065,66934,,-666666666,34.3,129,36,005,042600,5
1630,26484,,839,26.0,124,36,005,008500,5
1222,36250,,1211,26.6,115,36,005,025300,4
1389,103627,,1375,29.6,19,36,005,035800,4
654,31713,,1606,31.6,82,36,005,035800,7
1334,45066,,1391,32.2,454,36,005,022800,4
3697,46554,,1135,49.6,255,36,005,006100,2
692,-666666666,,1145,50.4,187,36,005,023502,3
0,-666666666,,-666666666,-666666666.0,0,36,005,016000,0
947,46969,,1349,35.4,253,36,005,009200,5
936,63125,,1575,33.5,449,36,005,030000,6
316,51641,,-666666666,42.0,115,36,005,032300,3
448,110000,,-666666666,44.5,51,36,005,048400,3
1058,22639,,1331,28.0,0,36,005,023704,1
946,35795,,958,33.5,68,36,005,043000,3
222,-666666666,,900,25.8,123,36,005,050400,1
1319,53393,,1237,37.1,245,36,005,033800,4
2720,29280,,1306,33.6,237,36,005,027300,3
1233,44167,,1344,27.8,6,36,005,022901,4
5193,53802,,1305,43.4,270,36,005,030200,5
1267,93636,,1747,35.8,766,36,005,029500,2
930,77216,,1444,51.7,580,36,005,029700,3
959,91875,,1430,42.4,463,36,005,031600,2
1185,32798,,992,31.1,91,36,005,036502,1
810,-666666666,,1661,41.2,130,36,005,046202,6
1215,14102,,540,39.0,456,36,005,008600,3
0,-666666666,,-666666666,-666666666.0,0,36,005,000100,0
4728,63653,,1039,41.8,753,36,005,046201,4
2801,56121,,943,53.3,590,36,005,046201,7
1171,20558,,1037,21.2,161,36,005,003300,2
912,45938,,1194,40.5,255,36,005,007200,3
1831,36875,,1252,31.4,251,36,005,012101,2
1060,19219,,499,39.3,147,36,005,012300,3
1307,21912,,829,40.9,162,36,005,013300,4
1399,15455,,696,36.7,61,36,005,014300,1
1010,-666666666,,480,33.8,343,36,005,014400,2
1174,88750,,934,50.2,106,36,005,042400,1
1299,83668,,1549,46.0,161,36,005,042800,2
746,18306,,1178,23.7,55,36,005,039901,5
1310,35160,,1088,43.3,477,36,005,033201,3
1736,68272,,1391,34.8,566,36,005,033202,2
1518,28967,,1294,32.3,102,36,005,038301,1
2660,29000,,1183,24.6,276,36,005,038302,1
1602,25858,,1327,26.8,153,36,005,040303,1
1702,40975,,1260,30.4,389,36,005,001900,1
2177,48095,,1430,25.3,540,36,005,004200,3
1529,27925,,1333,39.3,309,36,005,033000,1
1703,40326,,1149,29.3,943,36,005,033000,2
2643,94672,,1609,47.2,233,36,005,046202,5
598,-666666666,,-666666666,55.8,245,36,005,028400,1
683,-666666666,,1696,33.9,300,36,005,029500,4
1542,28396,,1054,32.5,265,36,005,024300,4
347,-666666666,,1216,39.3,25,36,005,007200,4
974,65417,,1132,31.3,561,36,005,030000,5
1252,46488,,1221,31.4,184,36,005,039902,4
609,-666666666,,1305,27.9,40,36,005,039902,5
1287,69000,,1360,57.8,866,36,005,032300,4
604,99722,,1635,54.5,377,36,005,030100,2
1486,68688,,1463,38.6,116,36,005,048400,4
1059,40776,,1407,40.6,67,36,005,007000,3
1271,-666666666,,1248,25.8,0,36,005,023704,3
1615,20285,,1034,28.7,77,36,005,023704,2
0,-666666666,,-666666666,-666666666.0,0,36,005,050400,0
1329,35313,,1446,22.2,36,36,005,040304,1
1310,23900,,1034,28.8,0,36,005,017500,1
1963,18750,,1538,25.2,110,36,005,038000,3
735,152734,,2062,59.1,555,36,005,030701,1
1516,99911,,2131,41.5,1304,36,005,030701,4
1255,86118,,1683,41.5,862,36,005,030701,3
2111,100982,,1889,43.8,1673,36,005,030701,2
829,28958,,1199,29.7,25,36,005,020502,3
1008,11974,,383,40.4,96,36,005,020502,1
1045,61194,,1223,54.2,99,36,005,021001,1
34,-666666666,,-666666666,-666666666.0,0,36,005,021001,2
764,89798,,1236,38.2,209,36,005,021001,3
3705,50526,,1342,42.7,324,36,005,021001,4
1782,51936,,1375,30.6,193,36,005,021001,5
1495,64353,,1293,38.0,190,36,005,021001,6
915,60313,,1310,31.0,81,36,005,021002,1
836,44891,,1454,33.3,152,36,005,021002,2
0,-666666666,,-666666666,-666666666.0,0,36,005,021002,3
413,-666666666,,1335,50.0,0,36,005,021002,5
1600,37258,,1294,40.1,375,36,005,021002,6
630,30208,,1164,32.0,76,36,005,022101,1
1888,23850,,1168,24.3,132,36,005,022101,3
1607,29698,,1114,30.5,328,36,005,022102,3
1215,20346,,1074,33.7,92,36,005,022102,2
2389,50408,,1393,35.6,613,36,005,022403,2
1190,-666666666,,1127,36.4,242,36,005,023703,2
1062,32500,,1226,26.5,44,36,005,023703,3
1487,32938,,1315,26.7,122,36,005,024501,2
711,33261,,953,26.3,172,36,005,011900,3
826,-666666666,,-666666666,32.9,147,36,005,011900,5
2286,36827,,1364,30.9,234,36,005,011900,1
934,62688,,1393,35.1,544,36,005,024800,3
1023,67344,,1713,59.4,597,36,005,024800,1
1096,54054,,1292,34.6,664,36,005,024800,2
1078,52500,,1367,30.6,24,36,005,040800,2
752,-666666666,,1367,25.8,139,36,005,040800,1
1175,94130,,1473,33.2,30,36,005,048400,1
1882,43884,,1165,25.8,265,36,005,036501,2
2378,18552,,508,29.6,292,36,005,002300,1
1642,66167,,1042,28.4,131,36,005,003900,2
1679,19880,,1413,27.5,145,36,005,003900,1
1094,14545,,298,45.6,252,36,005,003900,3
797,64318,,1315,42.9,31,36,005,005400,1
1525,37663,,1644,26.1,206,36,005,005400,3
1048,27596,,818,26.0,210,36,005,006200,1
1679,17015,,461,22.5,173,36,005,006200,2
1787,37898,,1011,29.8,222,36,005,007100,2
674,-666666666,,1318,39.1,388,36,005,008600,1
1467,23611,,1216,28.4,100,36,005,008700,1
782,31908,,1191,35.5,75,36,005,037900,3
926,31875,,1544,22.6,28,36,005,037900,1
1342,40750,,1224,22.8,338,36,005,038700,3
700,30690,,1283,28.2,160,36,005,038700,2
1280,49167,,1762,29.5,10,36,005,039600,1
719,30461,,981,34.6,150,36,005,039600,4
1359,37204,,1512,34.8,151,36,005,040100,1
1766,48939,,1398,30.2,329,36,005,040600,1
1020,50288,,1263,48.1,0,36,005,040600,2
1170,45114,,1221,30.0,282,36,005,042300,1
1357,19701,,1218,43.3,197,36,005,017300,3
1199,95300,,1684,39.5,518,36,005,024600,2
0,-666666666,,-666666666,-666666666.0,0,36,005,024900,1
1210,84104,,1601,34.2,625,36,005,025000,2
1422,71023,,1538,39.0,622,36,005,025200,2
1889,23924,,694,33.3,492,36,005,004100,2
1241,14732,,1247,41.1,117,36,005,041300,7
572,38958,,1357,41.2,49,36,005,039200,2
1059,26402,,1632,29.6,261,36,005,040600,3
390,54386,,1335,51.5,53,36,005,041500,4
1866,52865,,1296,33.8,43,36,005,041500,5
1608,52897,,1448,29.0,262,36,005,041500,6
719,14266,,611,61.1,253,36,005,033000,4
0,-666666666,,-666666666,-666666666.0,0,36,005,027600,0
4,-666666666,,-666666666,-666666666.0,4,36,005,027600,1
1198,69375,,1320,32.5,11,36,005,040400,3
1247,56169,,1383,46.6,167,36,005,041400,4
1319,-666666666,,1402,28.8,105,36,005,033800,3
669,32946,,1039,31.6,16,36,005,026900,3
881,66326,,1841,42.2,166,36,005,037000,3
659,21250,,1159,39.3,82,36,005,037800,3
603,33088,,1158,29.7,36,36,005,040501,2
559,25380,,1230,35.2,38,36,005,024501,3
1637,13325,,764,30.4,48,36,005,024501,1
416,18250,,940,46.8,78,36,005,024502,2
1450,36528,,1042,37.4,119,36,005,024502,1
1726,17434,,1056,27.5,140,36,005,007900,1
588,-666666666,,-666666666,25.7,142,36,005,007900,2
1289,23255,,1118,26.3,48,36,005,007900,3
489,-666666666,,356,33.7,133,36,005,007900,5
1756,40074,,1017,26.5,95,36,005,007900,4
1082,43661,,1453,41.6,483,36,005,015800,1
2025,37599,,1322,29.9,138,36,005,021800,2
484,86397,,1433,52.3,189,36,005,021800,5
1762,27652,,1136,27.3,441,36,005,021800,1
1871,57193,,1380,37.1,220,36,005,021800,3
607,33750,,1699,28.0,237,36,005,033800,2
931,45625,,1296,39.8,109,36,005,033800,1
2217,19632,,340,24.1,100,36,005,014500,2
1206,26647,,521,23.9,73,36,005,014500,3
783,53036,,1363,27.2,10,36,005,006800,2
1248,52143,,1385,34.0,158,36,005,006800,3
1209,43075,,1182,32.8,227,36,005,042100,5
960,55903,,1408,40.6,46,36,005,037600,2
591,74762,,-666666666,47.3,0,36,005,042600,6
683,23688,,1182,30.8,124,36,005,037900,4
804,100539,,1295,32.2,141,36,005,038100,5
1040,81000,,1643,47.2,13,36,005,045600,1
1500,38821,,1248,35.9,212,36,005,020100,1
1354,32803,,1043,34.1,127,36,005,020100,3
1149,48354,,1428,40.2,22,36,005,039000,2
1617,40288,,1349,30.0,195,36,005,039000,1
2065,22333,,932,35.7,443,36,005,039300,1
1140,25508,,948,34.2,262,36,005,039300,3
