B01003_001E,B19013_001E,B18101_001E,B25064_001E,B01002_001E,B02001_002E,state,county,tract
4711,40184,4711,1278,32.7,745,36,005,020000
6976,17601,6976,726,34.3,827,36,005,020501
2160,18919,2160,980,39.3,168,36,005,020502
4287,31190,4287,1121,36.4,539,36,005,020900
8930,54076,8930,1383,39.0,1007,36,005,021001
7613,55961,7613,1379,33.5,898,36,005,021002
5124,36420,5124,1134,34.0,364,36,005,021700
4133,32600,4133,1217,28.4,396,36,005,022101
5411,32792,5411,1234,30.0,778,36,005,022102
3293,51064,3293,1378,34.5,550,36,005,022200
2241,52599,2241,1581,33.7,595,36,005,023800
3666,79756,3666,1748,45.5,2474,36,005,016000
1870,81210,1675,1395,44.2,934,36,005,016200
965,26739,965,1311,31.3,212,36,005,016500
6536,26630,6514,782,34.7,670,36,005,017500
4565,33750,4565,1238,27.1,505,36,005,021501
6532,25238,6532,1095,30.6,443,36,005,021502
2802,38958,2802,1363,30.6,665,36,005,023000
6199,36481,6196,1246,30.0,535,36,005,025300
2097,76272,2041,1320,50.3,309,36,005,026100
7379,56033,6979,1423,40.5,2516,36,005,027900
6021,59899,5998,1457,39.5,2837,36,005,030000
633,-666666666,633,-666666666,20.5,393,36,005,031900
5606,52772,5580,1381,29.4,1073,36,005,034000
2172,63017,2172,1689,39.3,344,36,005,034400
2063,74583,2063,1426,39.8,214,36,005,035000
5576,21947,5567,680,33.7,1266,36,005,036100
3901,27304,3901,1106,34.3,836,36,005,036501
3194,51767,3194,1439,35.3,857,36,005,022403
5574,30109,5574,1268,27.7,760,36,005,023703
4871,24146,4871,1189,29.3,280,36,005,024501
3677,29835,3665,1265,33.2,522,36,005,024502
4203,53346,4203,1323,37.8,1189,36,005,022404
3803,20679,3803,1231,29.0,268,36,005,023704
4185,47656,4185,1371,31.5,434,36,005,026701
7895,35557,7895,1351,31.8,1578,36,005,026702
4693,87500,4693,1663,44.3,3889,36,005,027401
3481,88654,3302,1762,50.1,2701,36,005,027402
1763,69200,1763,1372,40.1,1466,36,005,044901
28109,52601,27126,987,49.1,4759,36,005,046201
9912,62532,9161,1260,37.3,861,36,005,046202
8499,38489,8499,1294,28.3,1300,36,005,022500
6128,58431,6128,1431,36.3,1713,36,005,022800
2476,56528,2476,1316,39.0,899,36,005,023200
1961,21360,1961,750,34.8,891,36,005,004600
1386,34898,1386,1177,32.0,364,36,005,006000
4378,50500,4362,1404,32.7,651,36,005,007000
4297,22344,4297,1116,28.5,819,36,005,007300
3634,39537,3634,1382,33.9,1435,36,005,007400
6692,30706,6692,1069,30.3,1216,36,005,007500
2022,38417,2022,1203,29.7,448,36,005,007700
3218,28642,3216,1032,32.9,465,36,005,008900
4756,68487,4733,1433,44.3,2346,36,005,009800
3860,34903,3860,1136,32.3,458,36,005,012500
4419,29079,4212,1138,34.8,799,36,005,014900
7561,35100,7561,1264,30.0,1299,36,005,019700
2007,35781,2007,1176,32.6,290,36,005,022000
1607,26554,1607,1177,32.1,173,36,005,022702
1537,29263,1445,1241,35.8,333,36,005,023100
3184,34591,3184,1302,34.8,438,36,005,023501
5825,34093,5612,1030,33.7,1884,36,005,001600
155,-666666666,155,-666666666,27.9,65,36,005,002400
1689,43255,1689,1187,33.0,350,36,005,003100
1350,33681,1350,990,37.4,895,36,005,003800
5942,19643,5931,707,30.1,970,36,005,004100
5440,28988,5437,1053,33.0,734,36,005,011900
4582,17656,4582,970,29.4,329,36,005,011502
5851,31205,5841,1087,32.0,547,36,005,014100
5309,29276,5287,1109,31.1,511,36,005,015100
4474,24438,4474,1099,30.4,246,36,005,015300
2927,22067,2927,928,33.0,199,36,005,015500
1816,38021,1808,1260,27.8,719,36,005,023600
5737,25088,5737,1107,32.8,647,36,005,024300
4041,35956,3929,1389,36.1,482,36,005,042902
5776,39836,5776,1198,39.0,3128,36,005,033000
8172,69766,8172,1462,37.9,1046,36,005,035800
4226,22685,4226,804,36.6,1132,36,005,037100
4766,26509,4766,1049,28.1,419,36,005,038500
5661,38083,5661,1170,31.5,1413,36,005,042100
1455,81094,1443,1461,42.7,1179,36,005,045101
5503,86250,5445,1960,32.6,3802,36,005,011800
3011,51199,3008,1401,34.3,753,36,005,020400
3078,69786,2765,1418,43.8,1795,36,005,024800
4826,31110,4823,1306,30.0,723,36,005,040800
4277,74958,4255,1438,39.2,250,36,005,048400
2058,49107,2058,1378,32.1,99,36,005,024700
5084,64143,5084,1326,40.1,3283,36,005,026602
2565,69750,2565,1428,41.2,52,36,005,036400
2041,80833,2026,1335,37.5,1629,36,005,044902
5278,26761,5278,1146,32.1,994,36,005,022300
1997,52853,1997,1456,40.4,1469,36,005,025400
1575,54250,1565,1448,34.5,696,36,005,029600
2197,49237,2197,1311,38.3,344,36,005,037600
2608,18832,2608,443,29.0,295,36,005,002701
5377,25467,5377,1059,31.1,1180,36,005,006500
6864,-666666666,0,-666666666,35.0,2233,36,005,000100
6705,19813,6705,723,31.4,696,36,005,006700
7023,37275,7016,1310,31.5,1413,36,005,040702
4704,33468,4704,1175,29.9,794,36,005,015700
5239,37544,5230,1390,32.8,427,36,005,038000
5610,23115,5610,902,33.1,1100,36,005,002500
3720,45361,3720,1159,50.6,349,36,005,006100
5151,34159,5138,1192,31.7,497,36,005,022701
5848,50176,5836,1413,35.0,1065,36,005,009200
1928,31212,1928,909,35.9,437,36,005,012701
3590,24392,3590,816,32.9,340,36,005,013500
2588,67705,2588,1422,43.8,1703,36,005,013800
4650,17960,4650,444,33.9,398,36,005,016100
0,-666666666,0,-666666666,-666666666.0,0,36,005,017100
7060,27227,7060,1199,37.0,1014,36,005,019500
3614,34167,3614,1126,28.1,750,36,005,022902
3706,42500,3706,1226,28.4,887,36,005,023302
2146,60709,2146,1412,40.0,891,36,005,024400
3703,39167,3703,1109,31.9,754,36,005,026900
7778,44154,7557,1316,39.3,1857,36,005,027300
4564,95833,4564,1706,41.5,2893,36,005,029500
3799,91210,3616,1732,46.5,2870,36,005,029700
4753,87336,3876,1565,50.3,1688,36,005,031000
1900,86048,1900,1733,42.3,888,36,005,031600
2179,86429,2008,1531,47.5,1003,36,005,031800
4575,85448,4552,1348,56.3,3242,36,005,032300
3177,19349,3160,811,36.9,566,36,005,032400
15,-666666666,15,-666666666,62.5,2,36,005,033400
7517,22226,7517,1062,29.3,1873,36,005,036300
2074,16293,2074,847,30.5,434,36,005,036902
6373,28900,6371,1154,27.8,764,36,005,037300
2900,41333,2898,1194,33.7,298,36,005,037800
5469,24183,5469,1321,26.4,377,36,005,037900
3823,35970,3823,1394,25.6,745,36,005,038700
5022,44458,5022,1463,30.8,434,36,005,039600
4478,37012,4470,1370,31.8,433,36,005,040100
3547,49671,3547,1562,38.2,323,36,005,040600
3695,31600,3695,1124,28.1,438,36,005,016700
2498,55909,2498,1543,36.5,420,36,005,022401
5151,51138,5095,978,44.5,655,36,005,002800
7188,26307,7163,683,26.7,729,36,005,007900
1314,55700,1314,1535,39.3,672,36,005,015800
3141,45156,3130,1344,30.6,685,36,005,001900
7697,43293,7697,1055,33.8,2407,36,005,004200
5737,19115,5737,483,29.2,436,36,005,005100
4604,27009,4604,1297,32.0,292,36,005,005001
5592,31795,5592,1235,30.3,437,36,005,005002
4888,16583,4888,1156,23.4,541,36,005,005300
4582,37306,4558,1321,36.4,1053,36,005,006300
5311,46176,5311,1340,33.1,790,36,005,007600
3459,24487,3459,440,32.2,1539,36,005,009000
6154,32852,5478,1191,31.6,827,36,005,009300
2792,50809,2590,1584,38.2,660,36,005,009600
1443,21595,1443,1105,32.7,24,36,005,011700
7003,17013,7003,595,25.7,594,36,005,014701
4313,38802,4313,1372,31.6,1509,36,005,042300
6175,31723,6173,1327,32.9,1987,36,005,042500
3561,40024,3561,1311,35.4,1181,36,005,042901
4019,55000,4009,1387,33.1,632,36,005,044200
0,-666666666,0,-666666666,-666666666.0,0,36,005,050400
1413,84375,1045,380,61.5,879,36,005,030100
24,-666666666,24,-666666666,19.2,4,36,005,027600
6520,47581,6507,1341,35.0,1020,36,005,021800
4105,51204,4105,1453,33.7,753,36,005,033800
2620,31588,2620,1182,30.2,271,36,005,036502
4401,17297,4209,523,29.0,625,36,005,004400
4563,33403,4563,1160,29.4,487,36,005,004800
2751,30844,2751,1322,35.1,483,36,005,005902
6713,32167,6696,1119,30.9,847,36,005,008300
2899,85750,2899,1708,33.3,1025,36,005,008400
5435,22237,5435,499,26.9,424,36,005,014702
2481,73929,2481,1574,41.4,1314,36,005,015200
1969,16400,1967,423,36.9,298,36,005,015900
4650,28750,4248,1391,32.2,569,36,005,017701
5423,34567,5423,1131,32.1,996,36,005,017702
4831,39036,4831,1260,29.9,704,36,005,017901
4032,37250,4032,1288,29.9,570,36,005,017902
3351,-666666666,3350,1229,27.1,227,36,005,018101
5294,31602,5061,1229,33.0,633,36,005,018102
4320,37105,4320,1213,42.4,730,36,005,018301
3824,41894,3824,1281,34.5,447,36,005,018302
9001,25808,8989,1121,31.5,1112,36,005,018500
8704,54087,8702,1178,49.0,1032,36,005,030200
1888,60893,1888,1601,39.4,289,36,005,034200
2416,58636,2416,1594,41.5,150,36,005,037000
2132,41346,2132,1448,37.8,308,36,005,037200
5646,36683,5646,1273,29.7,531,36,005,039902
6729,85023,6727,1774,45.8,495,36,005,042600
5744,24341,5744,483,24.4,1132,36,005,045800
3246,31932,3006,1305,38.5,262,36,005,046000
7873,27615,7873,1176,29.6,681,36,005,023900
6621,41322,6557,1171,29.7,725,36,005,024100
3452,60357,3452,1476,38.0,1892,36,005,026601
554,-666666666,117,-666666666,62.4,356,36,005,028400
3153,56518,3153,1478,38.3,1110,36,005,028700
3330,74459,3330,1642,42.1,1947,36,005,028800
1955,75089,1955,1505,41.5,1649,36,005,045102
3540,74013,3403,1519,44.4,1908,36,005,034500
2254,73194,2245,1581,40.3,128,36,005,035600
2053,23750,2053,1068,37.2,247,36,005,035900
2109,50919,2109,1489,33.3,153,36,005,036800
8889,51798,8889,1417,34.6,139,36,005,038600
5516,78409,5516,1314,41.2,2436,36,005,000400
1475,54868,1475,1244,40.5,334,36,005,004001
5552,21689,5552,773,32.8,1065,36,005,004300
1956,21140,1956,833,32.2,259,36,005,005200
3932,38415,3917,1260,38.9,507,36,005,006400
7415,52360,7415,1511,33.1,1612,36,005,007800
5631,31370,5631,1066,33.1,720,36,005,008500
5084,26750,5084,1091,29.7,904,36,005,013100
1046,80000,1046,1368,48.8,905,36,005,016400
3793,79191,3793,1532,40.9,2287,36,005,018400
6350,23927,6350,1020,29.0,670,36,005,019300
5513,25512,5513,1174,32.6,521,36,005,021302
5632,55354,5632,1355,36.1,1160,36,005,021602
882,26316,882,1310,36.2,65,36,005,021900
4532,51100,4532,1559,39.3,1919,36,005,000200
3907,31310,3907,1094,29.6,503,36,005,003500
3956,30861,3956,1119,33.0,221,36,005,023301
0,-666666666,0,-666666666,-666666666.0,0,36,005,016300
1633,30221,1633,953,33.7,216,36,005,016900
5746,20662,5733,963,37.6,680,36,005,017300
2011,65473,2006,1413,41.2,1012,36,005,024600
0,-666666666,0,-666666666,-666666666.0,0,36,005,024900
2591,85868,2591,1396,39.7,1730,36,005,025000
2787,77500,2787,1618,36.7,1486,36,005,025200
1999,52926,1999,1439,31.0,195,36,005,025700
4660,29621,4660,1314,34.2,1340,36,005,027700
3523,58467,3523,1499,35.0,2184,36,005,028500
1085,85625,1085,1388,43.8,602,36,005,028600
4807,52754,4623,1287,38.6,2398,36,005,028900
1678,98250,1678,1922,41.7,740,36,005,031200
8210,27339,8124,1213,30.7,1516,36,005,018900
3593,25897,3593,1373,26.9,464,36,005,040304
4399,37935,4399,1221,30.6,308,36,005,040501
7264,29670,7264,1261,28.9,792,36,005,040502
3710,62000,3710,1384,35.2,550,36,005,043400
4295,77740,4295,1609,41.7,404,36,005,044400
3220,93472,3220,1400,43.8,955,36,005,045600
3740,93750,3740,1675,30.3,2741,36,005,035100
2395,34500,2395,1340,26.3,396,36,005,036700
7647,38905,7647,1320,31.4,1949,36,005,038100
2763,63017,2763,1605,37.4,270,36,005,038800
3744,33854,3728,1066,20.1,2495,36,005,039700
5618,28049,5616,1203,32.5,729,36,005,039901
3194,52956,3194,1231,40.9,665,36,005,040900
4206,42689,4121,1313,33.7,627,36,005,042000
2569,86422,2350,1402,43.6,241,36,005,042400
499,27813,499,983,26.5,81,36,005,043500
2120,82599,2120,1572,47.7,257,36,005,042800
3510,41587,3510,1331,35.3,783,36,005,041100
8677,53032,8654,1324,31.3,1557,36,005,041300
6035,35837,6015,1343,33.5,1926,36,005,041900
