B01003_001E,B19013_001E,B18101_001E,B25064_001E,B01002_001E,B02001_002E,state,county,tract
1971,17778,1971,494,39.5,354,36,005,015900
4812,31225,4400,1374,30.4,599,36,005,017701
5786,33426,5786,1137,32.2,664,36,005,017702
5006,37127,5006,1219,29.9,618,36,005,017901
3701,23276,3701,1182,32.6,485,36,005,017902
3107,23750,3107,1158,29.5,157,36,005,018101
5791,33273,5549,1189,31.6,836,36,005,018102
4022,31638,4022,1184,43.5,394,36,005,018301
3814,37139,3814,1249,34.5,402,36,005,018302
8625,27324,8617,1028,32.3,756,36,005,018500
5348,21893,5348,503,26.6,493,36,005,014702
2586,70917,2586,1451,40.7,1217,36,005,015200
4180,23191,4128,1197,44.1,967,36,005,023502
6636,28209,6636,1193,31.3,593,36,005,025100
6905,27145,6892,1125,33.2,1041,36,005,025500
5398,56531,5398,1408,38.5,2501,36,005,026400
6697,37188,6697,1073,32.9,1604,36,005,033600
1680,78589,1480,1559,38.1,837,36,005,034300
9409,24447,9409,658,31.3,3185,36,005,002000
269,-666666666,269,1076,51.1,92,36,005,003700
8090,30089,8090,1084,28.5,1075,36,005,006900
3903,24004,3903,1387,24.9,349,36,005,040304
4435,37165,4435,1182,29.5,379,36,005,040501
7260,37586,7260,1195,31.2,973,36,005,040502
3884,49189,3884,1344,31.9,593,36,005,043400
4177,73432,4177,1569,42.3,335,36,005,044400
3344,90590,3344,1448,43.5,982,36,005,045600
3766,86563,3766,1530,30.7,2783,36,005,035100
2440,30893,2440,1299,26.0,352,36,005,036700
6909,35463,6891,1335,29.5,959,36,005,038100
2780,59792,2780,1513,37.7,217,36,005,038800
3881,30300,3866,1115,20.0,2585,36,005,039700
5615,25637,5615,1199,32.8,579,36,005,039901
3164,49301,3164,1204,44.5,634,36,005,040900
3799,37545,3695,1237,35.3,501,36,005,042000
2562,76400,2337,1263,44.2,274,36,005,042400
361,-666666666,361,970,23.9,32,36,005,043500
0,-666666666,0,-666666666,-666666666.0,0,36,005,016300
1513,28601,1513,937,33.5,223,36,005,016900
5689,20464,5676,887,37.7,561,36,005,017300
2082,62529,2077,1430,39.0,1001,36,005,024600
0,-666666666,0,-666666666,-666666666.0,0,36,005,024900
2582,77000,2582,1215,42.0,1546,36,005,025000
2711,74712,2711,1515,37.2,1329,36,005,025200
1969,42679,1969,1367,32.2,209,36,005,025700
4883,28529,4883,1294,33.1,1058,36,005,027700
3527,57572,3527,1499,35.2,2303,36,005,028500
1116,81607,1116,1479,43.2,699,36,005,028600
4773,48701,4584,1275,38.2,2266,36,005,028900
1598,90571,1598,1565,42.9,747,36,005,031200
8259,29118,8177,1165,31.3,1485,36,005,018900
8462,34247,8443,1152,33.5,1517,36,005,019900
2252,38750,2252,1230,35.3,551,36,005,020200
2336,52163,2336,1207,33.6,527,36,005,020601
5138,28041,5121,1010,28.9,255,36,005,021100
4960,56080,4960,1254,42.6,722,36,005,021200
4356,29990,4356,1296,33.8,908,36,005,021601
1688,43316,1615,1365,31.7,727,36,005,025600
1736,46635,1736,1327,31.8,283,36,005,022703
1143,37083,1143,1123,32.7,110,36,005,023702
4234,34918,4234,1304,28.8,764,36,005,024000
6015,23750,5546,1123,42.2,1282,36,005,026300
7615,38382,7558,1212,31.4,992,36,005,026500
4236,66525,3988,1138,50.4,2033,36,005,028100
2618,23889,2618,796,32.2,748,36,005,028300
2209,90909,2024,1767,42.8,1062,36,005,031400
3982,32969,3982,881,32.8,1019,36,005,032800
3838,28431,3838,952,32.9,477,36,005,037400
2943,47331,2943,1467,33.7,217,36,005,038200
4600,18032,4600,469,29.9,479,36,005,002300
6742,25903,6719,1175,30.9,966,36,005,003900
6003,34167,5997,1260,32.3,778,36,005,005400
7184,26184,7184,765,27.5,883,36,005,006200
3294,52228,3294,1403,34.1,262,36,005,006800
2722,41875,2659,1057,31.9,340,36,005,007100
3982,23559,3982,598,29.7,1614,36,005,008600
6150,26378,6024,1102,31.2,649,36,005,008700
0,-666666666,0,-666666666,-666666666.0,0,36,005,011000
1842,108611,1650,1569,61.5,1437,36,005,029301
5767,96205,5629,2089,48.0,3802,36,005,029302
3703,101438,2879,1726,62.6,3077,36,005,030900
3859,87719,3663,1698,46.5,1716,36,005,032600
5305,45347,5305,1343,34.9,2214,36,005,033201
5617,97363,5617,1915,45.6,4394,36,005,030701
4218,49338,3763,1303,48.4,1443,36,005,033202
2011,100833,1875,1544,36.2,1577,36,005,033500
2381,92813,2381,1683,45.6,1620,36,005,033700
6318,40000,6304,861,40.3,1209,36,005,034800
3149,70588,2948,1352,42.7,588,36,005,036000
3409,18906,3219,891,33.1,708,36,005,037504
2114,79531,2114,1502,46.4,218,36,005,042800
3766,39405,3766,1343,33.0,728,36,005,041100
8261,48843,8235,1313,30.8,1305,36,005,041300
6822,32632,6802,1304,32.8,2418,36,005,041900
4882,39350,4882,1249,32.7,405,36,005,038301
6127,21128,6127,1123,27.4,529,36,005,038302
4228,26373,4228,1061,30.8,584,36,005,039500
5102,37330,5102,1243,29.7,636,36,005,040303
3625,31902,3625,1092,25.4,410,36,005,016700
2637,51397,2637,1454,35.8,403,36,005,022401
5269,52479,5206,1025,44.2,675,36,005,002800
7054,25589,7017,853,27.1,633,36,005,007900
1082,43661,1082,1453,41.6,483,36,005,015800
7017,39596,7004,1296,31.8,1227,36,005,021800
4176,40077,4176,1389,34.6,696,36,005,033800
2328,31893,2328,1168,29.9,239,36,005,036502
3870,74531,3870,1715,44.5,2451,36,005,016000
1966,81908,1764,1360,44.6,1176,36,005,016200
965,25980,965,1174,29.5,176,36,005,016500
7223,25844,7200,781,33.9,669,36,005,017500
4716,27630,4716,1151,26.7,428,36,005,021501
6349,22926,6349,1068,30.3,332,36,005,021502
2832,41600,2832,1310,30.5,734,36,005,023000
6314,33048,6309,1216,28.9,631,36,005,025300
1950,70733,1892,1358,49.9,245,36,005,026100
7035,59375,6623,1361,40.2,2348,36,005,027900
6003,55903,6003,1422,34.9,2684,36,005,030000
636,-666666666,636,-666666666,20.2,400,36,005,031900
5464,41641,5464,1308,29.6,1000,36,005,034000
2127,59896,2127,1634,39.7,280,36,005,034400
2078,85781,2078,1419,39.9,166,36,005,035000
5547,24231,5537,677,36.0,869,36,005,036100
3705,25280,3705,1051,33.0,605,36,005,036501
3200,24816,3200,980,29.5,306,36,005,008900
4824,64500,4801,1347,40.9,2079,36,005,009800
4195,32500,4195,1186,30.4,383,36,005,012500
6091,46421,6082,1387,34.6,1212,36,005,009200
1832,21322,1832,805,36.8,414,36,005,012701
3541,22321,3541,747,35.6,561,36,005,013500
2597,77586,2597,1407,40.6,1807,36,005,013800
4361,16121,4361,447,34.0,317,36,005,016100
0,-666666666,0,-666666666,-666666666.0,0,36,005,017100
4769,28008,4574,1081,31.1,637,36,005,014900
7165,31225,7165,1219,29.8,973,36,005,019700
2243,32222,2243,1197,30.7,240,36,005,022000
1617,30337,1617,1118,32.9,250,36,005,022702
1602,28365,1505,1177,35.3,453,36,005,023100
3182,22315,3182,1277,31.8,518,36,005,023501
5917,35802,5694,1065,37.4,2406,36,005,001600
172,-666666666,172,-666666666,27.9,69,36,005,002400
1703,44583,1703,1245,31.3,367,36,005,003100
1434,41438,1434,1029,34.7,794,36,005,003800
5517,18942,5502,653,27.2,715,36,005,004100
5557,28364,5557,1020,31.3,702,36,005,011900
4437,23345,4437,1030,29.5,328,36,005,011502
5865,31311,5855,1054,31.9,479,36,005,014100
5029,33700,5010,1095,32.0,431,36,005,015100
4885,17438,4885,1102,30.5,190,36,005,015300
2884,19850,2884,882,33.4,221,36,005,015500
1904,30625,1898,1299,28.8,734,36,005,023600
5630,23873,5630,1110,32.2,453,36,005,024300
4548,41313,4548,1243,32.3,555,36,005,020000
7041,19615,7041,827,30.8,480,36,005,020501
2163,16507,2163,908,34.1,121,36,005,020502
4499,30625,4499,1104,36.3,482,36,005,020900
8825,54347,8825,1322,40.1,1015,36,005,021001
7710,56085,7710,1298,35.1,956,36,005,021002
5147,25304,5147,1111,34.3,394,36,005,021700
3896,28192,3896,1161,28.1,285,36,005,022101
5528,23973,5528,1148,31.3,703,36,005,022102
3242,41228,3242,1343,36.4,623,36,005,022200
2288,50353,2288,1432,34.2,527,36,005,023800
3374,39632,3374,1449,34.2,858,36,005,022403
5527,32930,5527,1178,28.5,556,36,005,023703
5009,20192,5009,1115,28.9,288,36,005,024501
3752,26406,3741,1174,33.4,488,36,005,024502
4209,51918,4209,1303,38.6,1285,36,005,022404
3944,21095,3944,1193,28.0,77,36,005,023704
4237,48795,4237,1315,32.8,285,36,005,026701
7221,36174,7221,1286,33.0,1105,36,005,026702
4829,88169,4829,1493,45.9,4040,36,005,027401
3450,87273,3268,1524,52.6,2805,36,005,027402
7418,27281,7418,1201,33.4,1025,36,005,019500
3578,35563,3578,1174,28.5,563,36,005,022902
3627,34477,3627,1240,28.8,894,36,005,023302
2277,54705,2277,1370,36.4,973,36,005,024400
