TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
25900,81,2,17.33333333,1.0,1.0,242.74,0.754523618,2.256790123,85.29771722,3.632355065,80.03706505,0.284463895,0.19405320813771518,0.229032258,0.581
16600,81,2,14.33333333,1.0,0.0,160.93,0.650879277,0.317673378,26.08588971,0.132865313,69.44427006,0.267605634,0.15051020408163265,0.204188482,0.81
122702,81,1,9.666666667,1.0,0.0,301.75,0.0,0.0,53.66693773,0.0,131.8242971,0.0,0.10960643250105798,0.223140496,0.47
28300,81,5,10.83333333,1.0,0.809470832,178.37,0.975917413,0.143099069,156.2552276,4.279461992,286.8336832,0.366863905,0.20581484315225707,0.217509025,0.753
148300,81,4,15.33333333,0.9733608910111721,0.027186023,679.95,0.477791755,0.465045593,6.997494258,0.0,12.81906106,0.124183007,0.16421291053227632,0.18442623,0.528
53900,81,1,13.16666667,1.0,0.090269157,174.35,0.404635519,2.755555556,20.98838868,1.153208169,16.1271727,0.119815668,0.23322332233223322,0.181395349,0.754
35300,81,2,15.0,1.0,0.0,0.0,0.543259506,1.470967742,48.73698978,3.312222607,64.47004716,0.14254386,0.16422018348623854,0.2297593,0.584
83700,81,3,13.33333333,1.0000000146086776,0.0,470.73,0.39847286,0.130555556,22.64344991,0.0,60.18775072,0.468085106,0.11974110032362459,0.321695761,0.701
77902,81,1,13.33333333,1.0,0.0,136.79,0.245649565,3.46875,71.70195682,2.093051283,57.58881102,0.578828829,0.14122533748701974,0.185770751,0.463
120300,81,2,14.33333333,0.9999998580196225,0.0,282.98,0.607187167,0.104072398,12.09123386,0.0,34.99129798,0.304347826,0.2054973821989529,0.339207048,0.614
66300,81,1,16.66666667,0.9980166484070125,0.0,0.0,0.688232013,0.158653846,13.61644185,0.106378452,27.71158674,0.393939394,0.4952015355086372,0.152173913,0.549
83700,81,4,15.66666667,1.0,0.0,309.8,0.821259143,0.5,23.05006341,3.148915766,56.63849824,0.530054645,0.12008895478131949,0.325955734,0.702
62300,81,2,13.5,1.0,0.0,422.45,0.48202035,0.206971678,30.19261424,0.648141987,70.70148845,0.178947368,0.20320855614973263,0.197238659,0.668
44800,81,2,11.66666667,1.0,0.301125631,292.36,0.08437353,0.134146341,19.42256682,0.0,65.78396776,0.212121212,0.14964610717896865,0.242165242,0.577
24000,81,2,16.0,0.658937892612556,0.944406881,206.53,0.511910939,0.543601359,52.18542996,1.773474482,77.20274021,0.4,0.12756598240469208,0.219373219,0.675
74100,81,1,12.83333333,1.0,0.00166308,156.91,0.287935033,0.043360434,58.34127538,0.142643705,105.2710543,0.375,0.27100271002710025,0.176656151,0.553
4300,81,2,18.66666667,1.0,0.0,209.21,0.786923028,45.6,73.39410331,0.0,4.220948431,0.2,0.5522388059701493,0.214285714,0.925
101700,81,5,16.83333333,1.0,0.0,143.5,0.837571366,0.20703125,10.02819105,0.0,22.80649544,0.452830189,0.20584652862362973,0.236151603,0.509
10300,81,1,14.83333333,0.7339493310319543,0.0,317.85,0.533168507,0.284090909,66.27245018,0.0,112.5713328,0.085714286,0.21549966009517335,0.128834356,0.61
21400,81,1,15.0,1.0,0.395862803,486.83,0.733413028,0.148345784,81.64901283,0.0,173.6352401,0.244604317,0.181190681622088,0.231590181,0.716
9700,81,3,10.66666667,1.0,0.037579635,405.02,0.719116463,0.046783626,32.89666583,0.163665004,72.17626682,0.1875,0.32653061224489793,0.191056911,0.663
5700,81,2,17.0,1.0,1.0,127.41,0.665069819,0.855967078,64.9994539,0.0,81.34434582,0.25,0.3302180685358255,0.187660668,0.76
11700,81,3,15.83333333,1.0,0.144083412,405.02,0.752181609,0.5518591,45.63274702,2.742352585,76.84071943,0.258865248,0.2798001427551749,0.162650602,0.776
3800,81,2,13.0,1.0,0.161326547,359.42,0.501624032,0.427991886,38.28437157,0.104175161,101.3103438,0.194312796,0.13933161953727508,0.196347032,0.571
40000,81,2,13.16666667,1.0,0.0,291.02,0.0,0.015544041,7.606673889,0.0,24.13954673,0.0,0.2395498392282958,0.189504373,0.658
19000,81,1,15.5,1.0,0.0,218.6,0.661699782,0.527607362,21.41661836,3.059516908,53.60441268,0.343023256,0.11493354182955434,0.202898551,0.695
4002,81,1,18.66666667,1.0,1.0,364.78,0.955096969,1.555023923,33.32421462,5.100645094,51.50105895,0.261538462,0.1758703481392557,0.205555556,0.668
3600,81,1,13.66666667,1.0,0.000808711,312.48,0.427227874,0.149606299,23.24544385,0.0,70.07761866,0.210526316,0.1699134199134199,0.189265537,0.601
3800,81,1,17.16666667,1.0,0.0,207.87,0.448048654,2.195833333,31.83530113,0.410778079,33.31410221,0.119544592,0.21331689272503082,0.2,0.673
4001,81,1,15.66666667,1.0,0.564924356,0.0,0.683556205,0.601583113,29.81402672,0.333383685,62.43800165,0.403508772,0.16552250190694126,0.189922481,0.615
4300,81,1,12.5,1.0,0.0,175.69,0.447924068,0.044634378,44.04837613,0.0,97.17223665,0.404255319,0.14146150840171942,0.2593361,0.581
4500,81,3,10.33333333,1.0,0.080741369,295.05,0.419115492,0.076246334,62.76954964,0.0,105.3175318,0.115384615,0.2897930049964311,0.168195719,0.546
4401,81,1,17.0,1.0,1.0,280.29,0.884436251,0.389277389,20.57053921,2.345485211,57.6228664,0.413173653,0.1848184818481848,0.21754386,0.621
4401,81,2,14.0,1.0,0.492244463,203.85,0.608488683,0.140997831,16.83294824,0.247999237,63.45680489,0.6,0.17342452369320957,0.209580838,0.552
4500,81,1,15.83333333,0.9999999285370906,0.0,584.73,0.59493199,1.403887689,32.415578,2.486909423,35.6742869,0.176923077,0.25,0.156787763,0.634
