Total Population,Median household income,Median Gross Rent,Median Age,state,county,tract,block group,Percent White
1016.0,,432.0,30.8,36,005,006900,3,0.03937007874015748
712.0,67072.0,1593.0,42.1,36,005,041800,1,0.060393258426966294
978.0,74722.0,1628.0,37.5,36,005,016200,2,0.5255623721881391
2399.0,13783.0,435.0,37.2,36,005,020501,2,0.0716965402250938
668.0,20139.0,1108.0,26.9,36,005,017902,2,0.07934131736526946
1668.0,73313.0,1352.0,37.1,36,005,026701,1,0.04016786570743405
2027.0,97808.0,2225.0,37.1,36,005,029302,3,0.549580661075481
1412.0,26528.0,1485.0,24.1,36,005,040304,2,0.04320113314447592
1503.0,31681.0,1193.0,34.4,36,005,038301,2,0.06121091151031271
1226.0,114423.0,,30.8,36,005,014400,6,0.3564437194127243
861.0,60556.0,1301.0,44.1,36,005,009200,4,0.21602787456445993
735.0,57175.0,1316.0,33.9,36,005,021002,8,0.0
1870.0,32083.0,1094.0,33.9,36,005,014500,4,0.10053475935828877
870.0,21818.0,1003.0,39.4,36,005,008700,4,0.15172413793103448
1075.0,27813.0,1069.0,27.8,36,005,012101,1,0.16837209302325581
875.0,43819.0,1280.0,32.4,36,005,021800,4,0.27314285714285713
846.0,84125.0,,38.7,36,005,009000,4,0.30969267139479906
636.0,,,20.2,36,005,031900,1,0.6289308176100629
0.0,,,,36,005,046201,8,
1138.0,25089.0,1064.0,31.0,36,005,021301,2,0.140597539543058
755.0,69306.0,1290.0,38.0,36,005,026602,5,0.7748344370860927
0.0,,,,36,005,051600,5,
2406.0,22992.0,1399.0,23.7,36,005,038100,6,0.11014131338320865
1710.0,62622.0,1526.0,42.7,36,005,022800,2,0.3023391812865497
1410.0,27721.0,1301.0,34.9,36,005,019900,2,0.2801418439716312
1417.0,44176.0,1364.0,26.5,36,005,040702,4,0.09527170077628794
1332.0,,1405.0,45.3,36,005,034500,2,0.6223723723723724
805.0,,1111.0,29.2,36,005,023301,4,0.06459627329192547
1247.0,76343.0,1524.0,43.2,36,005,045600,3,0.6455493183640738
1135.0,21612.0,1178.0,22.4,36,005,005001,3,0.04405286343612335
1568.0,28125.0,1190.0,27.4,36,005,005002,3,0.1326530612244898
1951.0,15609.0,1097.0,25.3,36,005,005300,1,0.043054843669912864
0.0,,,,36,005,002800,0,
1017.0,55972.0,1172.0,35.7,36,005,002800,4,0.05309734513274336
361.0,,970.0,23.9,36,005,043500,1,0.0886426592797784
0.0,,,,36,005,051600,0,
1823.0,22222.0,1279.0,25.3,36,005,037900,5,0.10093252879868349
925.0,39257.0,722.0,26.4,36,005,038100,4,0.011891891891891892
833.0,69205.0,1448.0,28.5,36,005,034300,2,0.45858343337334934
970.0,71901.0,1464.0,27.9,36,005,044200,4,0.4639175257731959
649.0,71071.0,1030.0,36.9,36,005,027900,5,0.37596302003081666
2157.0,29511.0,1189.0,27.6,36,005,018102,2,0.1024571163653222
1720.0,21481.0,1104.0,43.8,36,005,018301,1,0.07034883720930232
1012.0,33182.0,1181.0,28.3,36,005,018302,2,0.009881422924901186
332.0,16496.0,,30.0,36,005,005100,1,0.0
1207.0,46754.0,1175.0,33.1,36,005,007600,2,0.18889809444904723
941.0,35000.0,1882.0,33.7,36,005,007600,5,0.2104144527098831
878.0,20595.0,470.0,24.4,36,005,009000,3,0.40774487471526194
1545.0,19647.0,429.0,38.3,36,005,009000,5,0.44983818770226536
0.0,,,,36,005,009300,0,
1255.0,71827.0,,46.5,36,005,051600,3,0.7896414342629482
1172.0,42683.0,1336.0,22.5,36,005,038900,3,0.6757679180887372
1082.0,31250.0,1075.0,30.5,36,005,038900,4,0.10166358595194085
630.0,,1465.0,23.1,36,005,039100,5,0.0
847.0,30640.0,1278.0,35.8,36,005,039400,1,0.05548996458087367
867.0,51875.0,1565.0,34.8,36,005,034200,1,0.13494809688581316
790.0,42581.0,1506.0,35.6,36,005,037200,1,0.02911392405063291
707.0,11776.0,1340.0,26.9,36,005,039902,2,0.1272984441301273
957.0,117557.0,1543.0,45.6,36,005,042600,1,0.022988505747126436
998.0,127563.0,1654.0,45.8,36,005,042600,4,0.0
1975.0,25490.0,998.0,37.2,36,005,035900,1,0.12658227848101267
1027.0,46000.0,1563.0,35.9,36,005,036800,2,0.06815968841285297
818.0,66676.0,1688.0,33.9,36,005,038600,2,0.0
468.0,,1375.0,39.8,36,005,000400,1,0.6025641025641025
1901.0,20926.0,1116.0,27.4,36,005,013100,3,0.10836401893740137
935.0,70594.0,1134.0,39.3,36,005,007100,1,0.12620320855614972
1534.0,42885.0,1406.0,33.1,36,005,042300,2,0.2457627118644068
1918.0,23295.0,1276.0,28.3,36,005,005002,1,0.06465067778936393
486.0,30238.0,1458.0,42.5,36,005,037000,2,0.09876543209876543
2076.0,29609.0,1227.0,29.9,36,005,019700,1,0.08526011560693642
2600.0,75417.0,1869.0,21.7,36,005,011800,1,0.7557692307692307
269.0,,1076.0,51.1,36,005,003700,1,0.3420074349442379
679.0,47443.0,1864.0,28.1,36,005,034800,1,0.007363770250368188
