Total Population,Median household income,Median Gross Rent,Median Age,state,county,tract,Percent White
1971.0,17778.0,494.0,39.5,36,005,015900,0.1796042617960426
4812.0,31225.0,1374.0,30.4,36,005,017701,0.1244804655029094
5786.0,33426.0,1137.0,32.2,36,005,017702,0.11475976494987902
5006.0,37127.0,1219.0,29.9,36,005,017901,0.12345185777067519
3701.0,23276.0,1182.0,32.6,36,005,017902,0.13104566333423398
3107.0,23750.0,1158.0,29.5,36,005,018101,0.05053105889925973
5791.0,33273.0,1189.0,31.6,36,005,018102,0.14436194094284235
4022.0,31638.0,1184.0,43.5,36,005,018301,0.09796121332670313
3814.0,37139.0,1249.0,34.5,36,005,018302,0.10540115364446775
8625.0,27324.0,1028.0,32.3,36,005,018500,0.08765217391304347
5348.0,21893.0,503.0,26.6,36,005,014702,0.09218399401645475
2586.0,70917.0,1451.0,40.7,36,005,015200,0.4706109822119103
4180.0,23191.0,1197.0,44.1,36,005,023502,0.2313397129186603
6636.0,28209.0,1193.0,31.3,36,005,025100,0.08936106088004822
6905.0,27145.0,1125.0,33.2,36,005,025500,0.15076031860970313
5398.0,56531.0,1408.0,38.5,36,005,026400,0.4633197480548351
6697.0,37188.0,1073.0,32.9,36,005,033600,0.2395102284605047
1680.0,78589.0,1559.0,38.1,36,005,034300,0.4982142857142857
9409.0,24447.0,658.0,31.3,36,005,002000,0.3385056860452758
269.0,,1076.0,51.1,36,005,003700,0.3420074349442379
8090.0,30089.0,1084.0,28.5,36,005,006900,0.13288009888751545
3903.0,24004.0,1387.0,24.9,36,005,040304,0.08941839610555982
4435.0,37165.0,1182.0,29.5,36,005,040501,0.085456595264938
7260.0,37586.0,1195.0,31.2,36,005,040502,0.13402203856749312
3884.0,49189.0,1344.0,31.9,36,005,043400,0.15267765190525232
4177.0,73432.0,1569.0,42.3,36,005,044400,0.08020110126885324
3344.0,90590.0,1448.0,43.5,36,005,045600,0.29366028708133973
3766.0,86563.0,1530.0,30.7,36,005,035100,0.738980350504514
2440.0,30893.0,1299.0,26.0,36,005,036700,0.14426229508196722
6909.0,35463.0,1335.0,29.5,36,005,038100,0.13880445795339413
2780.0,59792.0,1513.0,37.7,36,005,038800,0.07805755395683453
3881.0,30300.0,1115.0,20.0,36,005,039700,0.6660654470497295
5615.0,25637.0,1199.0,32.8,36,005,039901,0.1031166518254675
3164.0,49301.0,1204.0,44.5,36,005,040900,0.20037926675094817
3799.0,37545.0,1237.0,35.3,36,005,042000,0.13187680968675966
2562.0,76400.0,1263.0,44.2,36,005,042400,0.10694769711163153
361.0,,970.0,23.9,36,005,043500,0.0886426592797784
0.0,,,,36,005,016300,
1513.0,28601.0,937.0,33.5,36,005,016900,0.14738929279576998
5689.0,20464.0,887.0,37.7,36,005,017300,0.09861135524696783
2082.0,62529.0,1430.0,39.0,36,005,024600,0.4807877041306436
0.0,,,,36,005,024900,
2582.0,77000.0,1215.0,42.0,36,005,025000,0.5987606506584043
2711.0,74712.0,1515.0,37.2,36,005,025200,0.49022500922168943
1969.0,42679.0,1367.0,32.2,36,005,025700,0.10614525139664804
4883.0,28529.0,1294.0,33.1,36,005,027700,0.21667007986893302
3527.0,57572.0,1499.0,35.2,36,005,028500,0.6529628579529345
1116.0,81607.0,1479.0,43.2,36,005,028600,0.6263440860215054
4773.0,48701.0,1275.0,38.2,36,005,028900,0.4747538235910329
1598.0,90571.0,1565.0,42.9,36,005,031200,0.467459324155194
8259.0,29118.0,1165.0,31.3,36,005,018900,0.1798038503450781
8462.0,34247.0,1152.0,33.5,36,005,019900,0.17927203970692507
2252.0,38750.0,1230.0,35.3,36,005,020200,0.24467140319715808
2336.0,52163.0,1207.0,33.6,36,005,020601,0.22559931506849315
5138.0,28041.0,1010.0,28.9,36,005,021100,0.049630206305955625
4960.0,56080.0,1254.0,42.6,36,005,021200,0.14556451612903226
4356.0,29990.0,1296.0,33.8,36,005,021601,0.20844811753902662
1688.0,43316.0,1365.0,31.7,36,005,025600,0.4306872037914692
1736.0,46635.0,1327.0,31.8,36,005,022703,0.1630184331797235
1143.0,37083.0,1123.0,32.7,36,005,023702,0.09623797025371829
4234.0,34918.0,1304.0,28.8,36,005,024000,0.18044402456306094
6015.0,23750.0,1123.0,42.2,36,005,026300,0.21313383208645054
7615.0,38382.0,1212.0,31.4,36,005,026500,0.13026920551543006
4236.0,66525.0,1138.0,50.4,36,005,028100,0.4799338999055713
2618.0,23889.0,796.0,32.2,36,005,028300,0.2857142857142857
2209.0,90909.0,1767.0,42.8,36,005,031400,0.48076052512449075
3982.0,32969.0,881.0,32.8,36,005,032800,0.2559015570065294
3838.0,28431.0,952.0,32.9,36,005,037400,0.12428348097967691
2943.0,47331.0,1467.0,33.7,36,005,038200,0.07373428474345906
4600.0,18032.0,469.0,29.9,36,005,002300,0.1041304347826087
6742.0,25903.0,1175.0,30.9,36,005,003900,0.1432809255413824
6003.0,34167.0,1260.0,32.3,36,005,005400,0.12960186573379975
7184.0,26184.0,765.0,27.5,36,005,006200,0.1229120267260579
3294.0,52228.0,1403.0,34.1,36,005,006800,0.07953855494839102
2722.0,41875.0,1057.0,31.9,36,005,007100,0.12490815576781777
3982.0,23559.0,598.0,29.7,36,005,008600,0.40532395781014563
6150.0,26378.0,1102.0,31.2,36,005,008700,0.10552845528455285
0.0,,,,36,005,011000,
1842.0,108611.0,1569.0,61.5,36,005,029301,0.7801302931596091
5767.0,96205.0,2089.0,48.0,36,005,029302,0.6592682503901509
3703.0,101438.0,1726.0,62.6,36,005,030900,0.8309478800972184
3859.0,87719.0,1698.0,46.5,36,005,032600,0.4446747862140451
5305.0,45347.0,1343.0,34.9,36,005,033201,0.4173421300659755
5617.0,97363.0,1915.0,45.6,36,005,030701,0.7822681146519495
4218.0,49338.0,1303.0,48.4,36,005,033202,0.34210526315789475
2011.0,100833.0,1544.0,36.2,36,005,033500,0.7841869716558926
2381.0,92813.0,1683.0,45.6,36,005,033700,0.6803863922721546
6318.0,40000.0,861.0,40.3,36,005,034800,0.19135802469135801
3149.0,70588.0,1352.0,42.7,36,005,036000,0.1867259447443633
3409.0,18906.0,891.0,33.1,36,005,037504,0.20768553828102082
2114.0,79531.0,1502.0,46.4,36,005,042800,0.10312204351939451
3766.0,39405.0,1343.0,33.0,36,005,041100,0.19330855018587362
8261.0,48843.0,1313.0,30.8,36,005,041300,0.15797118992858009
6822.0,32632.0,1304.0,32.8,36,005,041900,0.3544415127528584
