Total Population,Median household income,Median Gross Rent,Median Age,state,county,tract,block group,Percent White,CBG_ID,TRACT_ID
1016.0,30374.0,432.0,30.8,36,005,006900,3,0.0393700787401574,360050069003,36005006900
712.0,67072.0,1593.0,42.1,36,005,041800,1,0.0603932584269662,360050418001,36005041800
978.0,74722.0,1628.0,37.5,36,005,016200,2,0.5255623721881391,360050162002,36005016200
2399.0,13783.0,435.0,37.2,36,005,020501,2,0.0716965402250938,360050205012,36005020501
668.0,20139.0,1108.0,26.9,36,005,017902,2,0.0793413173652694,360050179022,36005017902
1668.0,73313.0,1352.0,37.1,36,005,026701,1,0.040167865707434,360050267011,36005026701
2027.0,97808.0,2225.0,37.1,36,005,029302,3,0.549580661075481,360050293023,36005029302
1412.0,26528.0,1485.0,24.1,36,005,040304,2,0.0432011331444759,360050403042,36005040304
1503.0,31681.0,1193.0,34.4,36,005,038301,2,0.0612109115103127,360050383012,36005038301
1226.0,114423.0,480.0,30.8,36,005,014400,6,0.3564437194127243,360050144006,36005014400
861.0,60556.0,1301.0,44.1,36,005,009200,4,0.2160278745644599,360050092004,36005009200
735.0,57175.0,1316.0,33.9,36,005,021002,8,0.0,360050210028,36005021002
1870.0,32083.0,1094.0,33.9,36,005,014500,4,0.1005347593582887,360050145004,36005014500
870.0,21818.0,1003.0,39.4,36,005,008700,4,0.1517241379310344,360050087004,36005008700
1075.0,27813.0,1069.0,27.8,36,005,012101,1,0.1683720930232558,360050121011,36005012101
875.0,43819.0,1280.0,32.4,36,005,021800,4,0.2731428571428571,360050218004,36005021800
846.0,84125.0,449.5,38.7,36,005,009000,4,0.309692671394799,360050090004,36005009000
636.0,,,20.2,36,005,031900,1,0.6289308176100629,360050319001,36005031900
1138.0,25089.0,1064.0,31.0,36,005,021301,2,0.140597539543058,360050213012,36005021301
755.0,69306.0,1290.0,38.0,36,005,026602,5,0.7748344370860927,360050266025,36005026602
2406.0,22992.0,1399.0,23.7,36,005,038100,6,0.1101413133832086,360050381006,36005038100
1710.0,62622.0,1526.0,42.7,36,005,022800,2,0.3023391812865497,360050228002,36005022800
1410.0,27721.0,1301.0,34.9,36,005,019900,2,0.2801418439716312,360050199002,36005019900
1417.0,44176.0,1364.0,26.5,36,005,040702,4,0.0952717007762879,360050407024,36005040702
1332.0,70051.5,1405.0,45.3,36,005,034500,2,0.6223723723723724,360050345002,36005034500
805.0,25272.0,1111.0,29.2,36,005,023301,4,0.0645962732919254,360050233014,36005023301
1247.0,76343.0,1524.0,43.2,36,005,045600,3,0.6455493183640738,360050456003,36005045600
1135.0,21612.0,1178.0,22.4,36,005,005001,3,0.0440528634361233,360050050013,36005005001
1568.0,28125.0,1190.0,27.4,36,005,005002,3,0.1326530612244898,360050050023,36005005002
1951.0,15609.0,1097.0,25.3,36,005,005300,1,0.0430548436699128,360050053001,36005005300
1017.0,55972.0,1172.0,35.7,36,005,002800,4,0.0530973451327433,360050028004,36005002800
361.0,,970.0,23.9,36,005,043500,1,0.0886426592797784,360050435001,36005043500
1823.0,22222.0,1279.0,25.3,36,005,037900,5,0.1009325287986834,360050379005,36005037900
925.0,39257.0,722.0,26.4,36,005,038100,4,0.0118918918918918,360050381004,36005038100
833.0,69205.0,1448.0,28.5,36,005,034300,2,0.4585834333733493,360050343002,36005034300
970.0,71901.0,1464.0,27.9,36,005,044200,4,0.4639175257731959,360050442004,36005044200
649.0,71071.0,1030.0,36.9,36,005,027900,5,0.3759630200308166,360050279005,36005027900
2157.0,29511.0,1189.0,27.6,36,005,018102,2,0.1024571163653222,360050181022,36005018102
1720.0,21481.0,1104.0,43.8,36,005,018301,1,0.0703488372093023,360050183011,36005018301
1012.0,33182.0,1181.0,28.3,36,005,018302,2,0.0098814229249011,360050183022,36005018302
332.0,16496.0,455.0,30.0,36,005,005100,1,0.0,360050051001,36005005100
1207.0,46754.0,1175.0,33.1,36,005,007600,2,0.1888980944490472,360050076002,36005007600
941.0,35000.0,1882.0,33.7,36,005,007600,5,0.2104144527098831,360050076005,36005007600
878.0,20595.0,470.0,24.4,36,005,009000,3,0.4077448747152619,360050090003,36005009000
1545.0,19647.0,429.0,38.3,36,005,009000,5,0.4498381877022653,360050090005,36005009000
1255.0,71827.0,1201.0,46.5,36,005,051600,3,0.7896414342629482,360050516003,36005051600
1172.0,42683.0,1336.0,22.5,36,005,038900,3,0.6757679180887372,360050389003,36005038900
1082.0,31250.0,1075.0,30.5,36,005,038900,4,0.1016635859519408,360050389004,36005038900
630.0,29985.0,1465.0,23.1,36,005,039100,5,0.0,360050391005,36005039100
847.0,30640.0,1278.0,35.8,36,005,039400,1,0.0554899645808736,360050394001,36005039400
867.0,51875.0,1565.0,34.8,36,005,034200,1,0.1349480968858131,360050342001,36005034200
790.0,42581.0,1506.0,35.6,36,005,037200,1,0.0291139240506329,360050372001,36005037200
707.0,11776.0,1340.0,26.9,36,005,039902,2,0.1272984441301273,360050399022,36005039902
957.0,117557.0,1543.0,45.6,36,005,042600,1,0.0229885057471264,360050426001,36005042600
998.0,127563.0,1654.0,45.8,36,005,042600,4,0.0,360050426004,36005042600
1975.0,25490.0,998.0,37.2,36,005,035900,1,0.1265822784810126,360050359001,36005035900
1027.0,46000.0,1563.0,35.9,36,005,036800,2,0.0681596884128529,360050368002,36005036800
818.0,66676.0,1688.0,33.9,36,005,038600,2,0.0,360050386002,36005038600
468.0,85417.0,1375.0,39.8,36,005,000400,1,0.6025641025641025,360050004001,36005000400
1901.0,20926.0,1116.0,27.4,36,005,013100,3,0.1083640189374013,360050131003,36005013100
935.0,70594.0,1134.0,39.3,36,005,007100,1,0.1262032085561497,360050071001,36005007100
1534.0,42885.0,1406.0,33.1,36,005,042300,2,0.2457627118644068,360050423002,36005042300
1918.0,23295.0,1276.0,28.3,36,005,005002,1,0.0646506777893639,360050050021,36005005002
486.0,30238.0,1458.0,42.5,36,005,037000,2,0.0987654320987654,360050370002,36005037000
2076.0,29609.0,1227.0,29.9,36,005,019700,1,0.0852601156069364,360050197001,36005019700
2600.0,75417.0,1869.0,21.7,36,005,011800,1,0.7557692307692307,360050118001,36005011800
269.0,,1076.0,51.1,36,005,003700,1,0.3420074349442379,360050037001,36005003700
679.0,47443.0,1864.0,28.1,36,005,034800,1,0.0073637702503681,360050348001,36005034800
1083.0,50806.0,1388.0,36.2,36,005,039200,1,0.0683287165281625,360050392001,36005039200
2201.0,38021.0,1355.0,33.2,36,005,042902,1,0.1194911403907314,360050429021,36005042902
738.0,24773.0,1250.0,29.7,36,005,036501,3,0.1693766937669376,360050365013,36005036501
878.0,24743.0,1226.0,39.5,36,005,027300,1,0.4407744874715262,360050273001,36005027300
647.0,64135.0,1366.0,43.6,36,005,027900,1,0.2735703245749614,360050279001,36005027900
1326.0,41359.0,1263.0,40.7,36,005,037800,1,0.0150829562594268,360050378001,36005037800
629.0,26250.0,780.0,34.8,36,005,017500,6,0.0,360050175006,36005017500
2070.0,26136.0,1313.0,32.6,36,005,026500,2,0.1429951690821256,360050265002,36005026500
1017.0,62826.0,1184.0,41.1,36,005,048400,2,0.0855457227138643,360050484002,36005048400
832.0,27875.0,729.0,29.4,36,005,011900,2,0.0997596153846153,360050119002,36005011900
1043.0,24885.0,1252.0,30.8,36,005,025100,2,0.0728667305848514,360050251002,36005025100
871.0,26932.0,1546.0,32.3,36,005,008300,1,0.1768082663605051,360050083001,36005008300
2497.0,51875.0,1050.0,43.2,36,005,030200,2,0.1553864637565078,360050302002,36005030200
684.0,32195.0,1157.0,36.6,36,005,002500,5,0.3932748538011696,360050025005,36005002500
1562.0,26146.0,1166.0,29.7,36,005,021502,5,0.1113956466069142,360050215025,36005021502
1782.0,26250.0,1198.0,26.4,36,005,022901,5,0.186307519640853,360050229015,36005022901
920.0,65500.0,1677.0,47.9,36,005,000200,3,0.5565217391304348,360050002003,36005000200
863.0,30284.0,1565.0,28.5,36,005,032800,4,0.3441483198146002,360050328004,36005032800
2248.0,22222.0,506.0,23.2,36,005,045800,2,0.2250889679715302,360050458002,36005045800
689.0,39167.0,1233.0,40.4,36,005,041800,4,0.0435413642960812,360050418004,36005041800
771.0,21087.0,1088.0,37.8,36,005,042901,3,0.1348897535667963,360050429013,36005042901
1065.0,66934.0,1556.0,34.3,36,005,042600,5,0.1211267605633802,360050426005,36005042600
1630.0,26484.0,839.0,26.0,36,005,008500,5,0.0760736196319018,360050085005,36005008500
1222.0,36250.0,1211.0,26.6,36,005,025300,4,0.0941080196399345,360050253004,36005025300
1389.0,103627.0,1375.0,29.6,36,005,035800,4,0.0136789056875449,360050358004,36005035800
654.0,31713.0,1606.0,31.6,36,005,035800,7,0.1253822629969418,360050358007,36005035800
1334.0,45066.0,1391.0,32.2,36,005,022800,4,0.3403298350824588,360050228004,36005022800
3697.0,46554.0,1135.0,49.6,36,005,006100,2,0.0689748444684879,360050061002,36005006100
692.0,20391.0,1145.0,50.4,36,005,023502,3,0.2702312138728324,360050235023,36005023502
947.0,46969.0,1349.0,35.4,36,005,009200,5,0.2671594508975712,360050092005,36005009200
936.0,63125.0,1575.0,33.5,36,005,030000,6,0.4797008547008547,360050300006,36005030000
316.0,51641.0,1360.0,42.0,36,005,032300,3,0.3639240506329114,360050323003,36005032300
448.0,110000.0,1463.0,44.5,36,005,048400,3,0.1138392857142857,360050484003,36005048400
1058.0,22639.0,1331.0,28.0,36,005,023704,1,0.0,360050237041,36005023704
946.0,35795.0,958.0,33.5,36,005,043000,3,0.0718816067653276,360050430003,36005043000
